Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28119719,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2016,725,725,2022-02-10T12:40:10Z,2016,01-01-16,31-12-16
28119720,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2017,1 911,1911,2022-02-10T12:40:10Z,2017,01-01-17,31-12-17
28119721,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2018,585,585,2022-02-10T12:40:10Z,2018,01-01-18,31-12-18
28119722,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2019,272,272,2022-02-10T12:40:10Z,2019,01-01-19,31-12-19
28119723,MALARIA_TOTAL_CASES,COUNTRY,BWA,YEAR,2020,953,953,2022-02-10T12:40:10Z,2020,01-01-20,31-12-20
28119724,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2010,66 484,66484,2022-02-10T12:40:10Z,2010,01-01-10,31-12-10
28119725,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2011,221 980,221980,2022-02-10T12:40:10Z,2011,01-01-11,31-12-11
28119726,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2012,500 806,500806,2022-02-10T12:40:10Z,2012,01-01-12,31-12-12
28119727,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2013,454 532,454532,2022-02-10T12:40:10Z,2013,01-01-13,31-12-13
28119728,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2014,495 238,495238,2022-02-10T12:40:10Z,2014,01-01-14,31-12-14
28119729,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2015,953 535,953535,2022-02-10T12:40:10Z,2015,01-01-15,31-12-15
28119730,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2016,1 607 079,1607079,2022-02-10T12:40:10Z,2016,01-01-16,31-12-16
28119731,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2017,1 296 277,1296277,2022-02-10T12:40:10Z,2017,01-01-17,31-12-17
28119732,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2018,995 157,995157,2022-02-10T12:40:10Z,2018,01-01-18,31-12-18
28119733,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2019,2 708 497,2708497,2022-02-10T12:40:10Z,2019,01-01-19,31-12-19
28119734,MALARIA_TOTAL_CASES,COUNTRY,CAF,YEAR,2020,1 980 804,1980804,2022-02-10T12:40:10Z,2020,01-01-20,31-12-20
28119735,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2010,1 721 461,1721461,2022-02-10T12:40:10Z,2010,01-01-10,31-12-10
28119736,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2011,2 588 004,2588004,2022-02-10T12:40:10Z,2011,01-01-11,31-12-11
28119737,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2012,2 795 919,2795919,2022-02-10T12:40:10Z,2012,01-01-12,31-12-12
28119738,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2013,4 725 798,4725798,2022-02-10T12:40:10Z,2013,01-01-13,31-12-13
28119739,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2014,4 658 774,4658774,2022-02-10T12:40:10Z,2014,01-01-14,31-12-14
28119740,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2015,3 606 725,3606725,2022-02-10T12:40:10Z,2015,01-01-15,31-12-15
28119741,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2016,3 754 504,3754504,2022-02-10T12:40:10Z,2016,01-01-16,31-12-16
28119742,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2017,4 149 665,4149665,2022-02-10T12:40:10Z,2017,01-01-17,31-12-17
28119743,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2018,5 189 974,5189974,2022-02-10T12:40:10Z,2018,01-01-18,31-12-18
28119744,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2019,5 950 336,5950336,2022-02-10T12:40:10Z,2019,01-01-19,31-12-19
28119745,MALARIA_TOTAL_CASES,COUNTRY,CIV,YEAR,2020,4 980 640,4980640,2022-02-10T12:40:10Z,2020,01-01-20,31-12-20
28119746,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2010,1 845 691,1845691,2022-02-10T12:40:10Z,2010,01-01-10,31-12-10
28119747,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2011,1 899 928,1899928,2022-02-10T12:40:10Z,2011,01-01-11,31-12-11
28119748,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2012,1 728 723,1728723,2022-02-10T12:40:10Z,2012,01-01-12,31-12-12
28119749,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2013,2 285 412,2285412,2022-02-10T12:40:10Z,2013,01-01-13,31-12-13
28119750,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2014,1 369 518,1369518,2022-02-10T12:40:10Z,2014,01-01-14,31-12-14
28119751,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2015,2 381 592,2381592,2022-02-10T12:40:10Z,2015,01-01-15,31-12-15
28119752,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2016,2 615 750,2615750,2022-02-10T12:40:10Z,2016,01-01-16,31-12-16
28119753,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2017,3 607 898,3607898,2022-02-10T12:40:10Z,2017,01-01-17,31-12-17
28119754,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2018,3 550 183,3550183,2022-02-10T12:40:10Z,2018,01-01-18,31-12-18
28119755,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2019,3 011 133,3011133,2022-02-10T12:40:10Z,2019,01-01-19,31-12-19
28119756,MALARIA_TOTAL_CASES,COUNTRY,CMR,YEAR,2020,2 974 819,2974819,2022-02-10T12:40:10Z,2020,01-01-20,31-12-20
28119757,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2010,9 252 959,9252959,2022-02-10T12:40:10Z,2010,01-01-10,31-12-10
28119758,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2011,9 442 144,9442144,2022-02-10T12:40:10Z,2011,01-01-11,31-12-11
28119759,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2012,9 128 398,9128398,2022-02-10T12:40:10Z,2012,01-01-12,31-12-12
28119760,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2013,11 368 481,11368481,2022-02-10T12:40:10Z,2013,01-01-13,31-12-13
28119761,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2014,10 288 519,10288519,2022-02-10T12:40:10Z,2014,01-01-14,31-12-14
28119762,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2015,12 538 805,12538805,2022-02-10T12:40:10Z,2015,01-01-15,31-12-15
28119763,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2016,16 888 006,16888006,2022-02-10T12:40:10Z,2016,01-01-16,31-12-16
28119764,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2017,16 888 842,16888842,2022-02-10T12:40:10Z,2017,01-01-17,31-12-17
28119765,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2018,18 208 440,18208440,2022-02-10T12:40:10Z,2018,01-01-18,31-12-18
28119766,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2019,20 480 310,20480310,2022-02-10T12:40:10Z,2019,01-01-19,31-12-19
28119767,MALARIA_TOTAL_CASES,COUNTRY,COD,YEAR,2020,24 959 997,24959997,2022-02-10T12:40:10Z,2020,01-01-20,31-12-20
28119768,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2010,446 656,446656,2022-02-10T12:40:10Z,2010,01-01-10,31-12-10
28119769,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2011,277 263,277263,2022-02-10T12:40:10Z,2011,01-01-11,31-12-11
28119770,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2012,120 319,120319,2022-02-10T12:40:10Z,2012,01-01-12,31-12-12
28119771,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2013,183 026,183026,2022-02-10T12:40:10Z,2013,01-01-13,31-12-13
28119772,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2014,248 159,248159,2022-02-10T12:40:10Z,2014,01-01-14,31-12-14
28119773,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2015,264 574,264574,2022-02-10T12:40:10Z,2015,01-01-15,31-12-15
28119774,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2016,374 252,374252,2022-02-10T12:40:10Z,2016,01-01-16,31-12-16
28119775,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2017,297 652,297652,2022-02-10T12:40:10Z,2017,01-01-17,31-12-17
28119776,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2018,324 615,324615,2022-02-10T12:40:11Z,2018,01-01-18,31-12-18
28119777,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2019,545 796,545796,2022-02-10T12:40:11Z,2019,01-01-19,31-12-19
28119778,MALARIA_TOTAL_CASES,COUNTRY,COG,YEAR,2020,103 692,103692,2022-02-10T12:40:11Z,2020,01-01-20,31-12-20
28119779,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2010,103 670,103670,2022-02-10T12:40:11Z,2010,01-01-10,31-12-10
28119780,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2011,76 661,76661,2022-02-10T12:40:11Z,2011,01-01-11,31-12-11
28119781,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2012,65 139,65139,2022-02-10T12:40:11Z,2012,01-01-12,31-12-12
28119782,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2013,62 565,62565,2022-02-10T12:40:11Z,2013,01-01-13,31-12-13
28119783,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2014,2 465,2465,2022-02-10T12:40:11Z,2014,01-01-14,31-12-14
28119784,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2015,2 101,2101,2022-02-10T12:40:11Z,2015,01-01-15,31-12-15
28119785,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2016,1 734,1734,2022-02-10T12:40:11Z,2016,01-01-16,31-12-16
28119786,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2017,3 896,3896,2022-02-10T12:40:11Z,2017,01-01-17,31-12-17
28119787,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2018,19 682,19682,2022-02-10T12:40:11Z,2018,01-01-18,31-12-18
28119788,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2019,17 697,17697,2022-02-10T12:40:11Z,2019,01-01-19,31-12-19
28119789,MALARIA_TOTAL_CASES,COUNTRY,COM,YEAR,2020,4 546,4546,2022-02-10T12:40:11Z,2020,01-01-20,31-12-20
28119790,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2010,47,47,2022-02-10T12:40:11Z,2010,01-01-10,31-12-10
28119791,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2011,36,36,2022-02-10T12:40:11Z,2011,01-01-11,31-12-11
28119792,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2012,36,36,2022-02-10T12:40:11Z,2012,01-01-12,31-12-12
28119793,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2013,46,46,2022-02-10T12:40:11Z,2013,01-01-13,31-12-13
28119794,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2014,46,46,2022-02-10T12:40:11Z,2014,01-01-14,31-12-14
28119795,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2015,28,28,2022-02-10T12:40:11Z,2015,01-01-15,31-12-15
28119796,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2016,75,75,2022-02-10T12:40:11Z,2016,01-01-16,31-12-16
28119797,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2017,446,446,2022-02-10T12:40:11Z,2017,01-01-17,31-12-17
28119798,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2018,21,21,2022-02-10T12:40:11Z,2018,01-01-18,31-12-18
28119799,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2019,40,40,2022-02-10T12:40:11Z,2019,01-01-19,31-12-19
28119800,MALARIA_TOTAL_CASES,COUNTRY,CPV,YEAR,2020,10,10,2022-02-10T12:40:11Z,2020,01-01-20,31-12-20
28119801,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2010,408,408,2022-02-10T12:40:11Z,2010,01-01-10,31-12-10
28119802,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2011,191,191,2022-02-10T12:40:11Z,2011,01-01-11,31-12-11
28119803,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2012,887,887,2022-02-10T12:40:11Z,2012,01-01-12,31-12-12
28119804,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2013,603,603,2022-02-10T12:40:11Z,2013,01-01-13,31-12-13
28119805,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2014,266,266,2022-02-10T12:40:11Z,2014,01-01-14,31-12-14
28119806,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2015,747,747,2022-02-10T12:40:11Z,2015,01-01-15,31-12-15
28119807,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2016,432,432,2022-02-10T12:40:11Z,2016,01-01-16,31-12-16
28119808,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2017,453,453,2022-02-10T12:40:11Z,2017,01-01-17,31-12-17
28119809,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2018,1 242,1242,2022-02-10T12:40:11Z,2018,01-01-18,31-12-18
28119810,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2019,1 014,1014,2022-02-10T12:40:11Z,2019,01-01-19,31-12-19
28119811,MALARIA_TOTAL_CASES,COUNTRY,DZA,YEAR,2020,2 726,2726,2022-02-10T12:40:11Z,2020,01-01-20,31-12-20
28119812,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2010,53 750,53750,2022-02-10T12:40:11Z,2010,01-01-10,31-12-10
28119813,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2011,39 567,39567,2022-02-10T12:40:11Z,2011,01-01-11,31-12-11
28119814,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2012,42 178,42178,2022-02-10T12:40:11Z,2012,01-01-12,31-12-12
28119815,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2013,34 678,34678,2022-02-10T12:40:11Z,2013,01-01-13,31-12-13
28119816,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2014,55 491,55491,2022-02-10T12:40:11Z,2014,01-01-14,31-12-14
28119817,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2015,32 974,32974,2022-02-10T12:40:11Z,2015,01-01-15,31-12-15
28119818,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2016,80 450,80450,2022-02-10T12:40:11Z,2016,01-01-16,31-12-16
28119819,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2017,55 588,55588,2022-02-10T12:40:11Z,2017,01-01-17,31-12-17
28119820,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2018,48 326,48326,2022-02-10T12:40:11Z,2018,01-01-18,31-12-18
28119821,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2019,93 878,93878,2022-02-10T12:40:11Z,2019,01-01-19,31-12-19
28119822,MALARIA_TOTAL_CASES,COUNTRY,ERI,YEAR,2020,75 756,75756,2022-02-10T12:40:11Z,2020,01-01-20,31-12-20
28119823,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2010,4 107 396,4107396,2022-02-10T12:40:11Z,2010,01-01-10,31-12-10
28119824,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2011,3 549 613,3549613,2022-02-10T12:40:11Z,2011,01-01-11,31-12-11
28119825,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2012,3 876 745,3876745,2022-02-10T12:40:11Z,2012,01-01-12,31-12-12
28119826,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2013,3 316 013,3316013,2022-02-10T12:40:11Z,2013,01-01-13,31-12-13
28119827,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2014,2 513 863,2513863,2022-02-10T12:40:11Z,2014,01-01-14,31-12-14
28119828,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2015,2 174 707,2174707,2022-02-10T12:40:11Z,2015,01-01-15,31-12-15
28119829,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2016,1 962 996,1962996,2022-02-10T12:40:11Z,2016,01-01-16,31-12-16
28119830,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2017,1 755 748,1755748,2022-02-10T12:40:11Z,2017,01-01-17,31-12-17
28119831,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2018,1 206 891,1206891,2022-02-10T12:40:11Z,2018,01-01-18,31-12-18
28119832,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2019,1 015 792,1015792,2022-02-10T12:40:11Z,2019,01-01-19,31-12-19
28119833,MALARIA_TOTAL_CASES,COUNTRY,ETH,YEAR,2020,1 848 231,1848231,2022-02-10T12:40:11Z,2020,01-01-20,31-12-20
28119834,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2010,185 105,185105,2022-02-10T12:40:11Z,2010,01-01-10,31-12-10
28119835,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2011,178 822,178822,2022-02-10T12:40:11Z,2011,01-01-11,31-12-11
28119836,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2012,188 089,188089,2022-02-10T12:40:11Z,2012,01-01-12,31-12-12
28119837,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2013,185 196,185196,2022-02-10T12:40:11Z,2013,01-01-13,31-12-13
28119838,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2014,185 996,185996,2022-02-10T12:40:11Z,2014,01-01-14,31-12-14
28119839,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2015,217 287,217287,2022-02-10T12:40:11Z,2015,01-01-15,31-12-15
28119840,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2016,161 508,161508,2022-02-10T12:40:11Z,2016,01-01-16,31-12-16
28119841,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2017,157 639,157639,2022-02-10T12:40:11Z,2017,01-01-17,31-12-17
28119842,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2018,797 278,797278,2022-02-10T12:40:11Z,2018,01-01-18,31-12-18
28119843,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2019,142 917,142917,2022-02-10T12:40:11Z,2019,01-01-19,31-12-19
28119844,MALARIA_TOTAL_CASES,COUNTRY,GAB,YEAR,2020,127 500,127500,2022-02-10T12:40:11Z,2020,01-01-20,31-12-20
28119845,MALARIA_TOTAL_CASES,COUNTRY,GHA,YEAR,2010,3 900 311,3900311,2022-02-10T12:40:11Z,2010,01-01-10,31-12-10
28119846,MALARIA_TOTAL_CASES,COUNTRY,GHA,YEAR,2011,4 207 941,4207941,2022-02-10T12:40:11Z,2011,01-01-11,31-12-11
28119847,MALARIA_TOTAL_CASES,COUNTRY,GHA,YEAR,2012,10 754 320,10754320,2022-02-10T12:40:11Z,2012,01-01-12,31-12-12
